school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,3850_0120,Riverdale High,Traditional Public,71.4,Meets Expectations,177,49.3,73.7,NA,NA,92.1,NA,NA,NA,NA,0
2018-19,3850_0160,Riverdale Junior High,Traditional Public,64.7,Meets Expectations,101,51.3,57.5,65.8,NA,81.7,NA,NA,NA,NA,0
2018-19,0000_2457,Rock County Christian School,Private,72.5,Meets Expectations^,68,52.4,79.3,54.3,NA,82.6,NA,NA,NA,NA,0
2018-19,0000_1595,Rock Co Chr Sch-Janesville,Private,88.1,Significantly Exceeds Expectations,106,65.9,85,95.1,NA,91,NA,NA,NA,NA,0
2018-19,3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,76.5,Exceeds Expectations,489,56.1,92.5,41.8,NA,86.6,NA,NA,NA,NA,1
2018-19,3619_0441,Milwaukee Community Cyber High,Non-Instrumentality Charter,67.3,Meets Expectations^,168,20.6,68.9,64.3,NA,80.1,NA,NA,NA,NA,1
2018-19,0000_2460,Roncalli Catholic High,Private,84.8,Significantly Exceeds Expectations,61,69.1,81.3,91.9,NA,91.8,NA,NA,NA,NA,0
2018-19,4956_0025,Brandon Elementary,Traditional Public,76.5,Exceeds Expectations,164,78.2,70.8,66.8,NA,88.8,NA,NA,NA,NA,0
2018-19,4956_0030,Brandon Middle,Traditional Public,74.3,Exceeds Expectations,94,78.3,58.4,65.6,NA,90.6,NA,NA,NA,NA,0
2018-19,4956_0400,Cirrus Charter High,Instrumentality Charter,NA,Alternate Rating - Needs Improvement,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4956_0050,Laconia High,Traditional Public,73.1,Exceeds Expectations,329,71.7,55.6,71.1,NA,91.9,NA,NA,NA,NA,0
2018-19,4956_0080,Rosendale Intermediate,Traditional Public,77.1,Exceeds Expectations,242,82.3,64.2,64.1,NA,90.4,NA,NA,NA,NA,0
2018-19,4956_0060,Rosendale Primary,Traditional Public,87.1,Significantly Exceeds Expectations,210,85.3,NA,NA,NA,92.5,NA,NA,NA,NA,0
2018-19,4963_0020,Rosholt Elementary,Traditional Public,62.7,Meets Few Expectations,225,55.5,44.2,60.1,NA,88.8,NA,NA,NA,NA,0
2018-19,4963_0040,Rosholt High,Traditional Public,77.4,Exceeds Expectations^,174,65.9,70.8,83.2,NA,96,NA,NA,NA,NA,0
2018-19,4963_0060,Rosholt Middle,Traditional Public,68.6,Meets Expectations,131,51.6,72.7,71.6,NA,84.9,NA,NA,NA,NA,0
2018-19,1673_0020,Royall Elementary,Traditional Public,73.2,Exceeds Expectations,165,67.3,NA,NA,NA,90.9,NA,NA,NA,NA,0
2018-19,1673_0060,Royall High,Traditional Public,72.2,Meets Expectations^,233,53.4,63.1,80.1,NA,86.6,NA,NA,NA,NA,0
2018-19,1673_0040,Royall Intermediate,Traditional Public,71.3,Meets Expectations,110,59.6,62.2,71.7,NA,96.5,NA,NA,NA,NA,0
2018-19,0000_2640,Sacred Heart Catholic School,Private,NA,NR-DATA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3619_0315,Milwaukee County Youth Education Center,Traditional Public,NA,Alternate Rating - Needs Improvement,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-19,3619_0118,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,76.2,Exceeds Expectations,414,24.9,81.2,74.2,NA,79.6,NA,NA,NA,NA,1
2018-19,0000_2800,Saint Agnes Catholic Grade Sch,Private,80.2,Exceeds Expectations^,99,48,89.7,67,NA,88.9,NA,NA,NA,NA,0
2018-19,0000_2950,Saint Andrew Parish School,Private,NA,NR-DATA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,0000_3120,Saint Anthony Grade School,Private,NA,NR-DATA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3619_0885,Milwaukee Excellence Charter School,Non-Instrumentality Charter,89.5,Significantly Exceeds Expectations,325,45.8,100,83.4,NA,85.6,NA,NA,NA,NA,1
2018-19,3619_0140,Milwaukee French Immersion,Traditional Public,70.8,Meets Expectations,637,51.9,72.7,62.7,NA,84.9,NA,NA,NA,NA,1
2018-19,3619_0146,Milwaukee German Immersion,Traditional Public,79.3,Exceeds Expectations,594,74.7,87,69.6,NA,89.1,NA,NA,NA,NA,1
2018-19,3619_0038,Milwaukee High School of the Arts,Traditional Public,55.1,Meets Few Expectations,884,22.6,46.1,69.9,NA,90.5,NA,NA,NA,NA,1
2018-19,0000_1997,Saint Augustine School Inc,Private,NA,NR-DATA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,0000_3250,Saint Bernard Grade Sch-GRACE,Private,NA,NR-DATA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,0000_3375,Saint Bruno Parish School,Private,NA,NR-DATA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3619_0362,Milwaukee Parkside School,Traditional Public,81,Exceeds Expectations^,812,40.8,83.1,86.3,NA,80.6,NA,NA,NA,NA,1
